name,flage,currency,code,symbol
Albania,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/albania.png,Lek,ALL,Lek
Afghanistan,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/afghanistan.png,Afghani,AFN,؋
Argentina,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/argentina.png,Peso,ARS,$
Aruba,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/aruba.png,Guilder,AWG,ƒ
Australia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/australia.png,Dollar,AUD,$
Azerbaijan,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/azerbaijan.png,Manat,AZN,₼
Bahamas,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bahamas.png,Dollar,BSD,$
Barbados,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/barbados.png,Dollar,BBD,$
Belarus,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belarus.png,Ruble,BYR,p.
Belize,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belize.png,Dollar,BZD,BZ$
Bermuda,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bermuda.png,Dollar,BMD,$
Bolivia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bolivia.png,Boliviano,BOB,$b
Bosnia and Herzegovina,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Bosnia_and_Herzegovina.png,Convertible Marka,BAM,KM
Botswana,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/botswana.png,Pula,BWP,P
Bulgaria,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bulgaria.png,Lev,BGN,лв
Brazil,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brazil.png,Real,BRL,R$
Brunei,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brunei.png,Darussalam Dollar,BND,$
Cambodia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cambodia.png,Riel,KHR,៛
Canada,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/canada.png,Dollar,CAD,$
Cayman,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Cayman_Islands.png,Dollar,KYD,$
Chile,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/chile.png,Peso,CLP,$
China,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/china.png,Yuan Renminbi,CNY,¥
Colombia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/colombia.png,Peso,COP,$
Costa Rica,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/costarica.png,Colon,CRC,₡
Croatia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/croatia.png,Kuna,HRK,kn
Cuba,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cuba.png,Peso,CUP,₱
Czech Republic,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/czechrepublic.png,Koruna,CZK,Kč
Denmark,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/denmark.png,Krone,DKK,kr
Dominican Republic,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/dominicanrepublic.png,Peso,DOP,RD$
Egypt,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/egypt.png,Pound,EGP,£
El Salvador,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/elsalvador.png,Colon,SVC,$
Estonia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/estonia.png,Kroon,EEK,kr
Euro Member,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/euro.png,Euro,EUR,€
Falkland Islands,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/falklandislands.png,Pound,FKP,£
Fiji,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/fiji.png,Dollar,FJD,$
Georgia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/georgia.png,Lari,GEL,₾
Ghana,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/ghana.png,Cedis,GHC,¢
Gibraltar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/gibraltar.png,Pound,GIP,£
Guatemala,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guatemala.png,Quetzal,GTQ,Q
Guernsey,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guernsey.png,Pound,GGP,£
Guyana,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guyana.png,Dollar,GYD,$
Honduras,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/honduras.png,Lempira,HNL,L
Hong Kong,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/hongkong.png,Dollar,HKD,$
Hungary,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/hungary.png,Forint,HUF,Ft
Iceland,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/iceland.png,Krona,ISK,kr
India,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/india.png,Rupee,INR,₹
Indonesia,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/indonesia.png,Rupiah,IDR,Rp
